State,Population Value,Gender,Year,18-20,65-74,75-84,55-59,60-64,,20-24,25-34,45-54,35-44
 Colorado,3,,2008,0,0,1,0,0,0,0,0,0,0
 Connecticut,4,,2008,0,0,1,0,0,0,0,0,0,0
 Delaware,4,,2008,0,0,1,0,0,0,0,0,0,0
 District of Columbia,3,,2008,0,0,1,0,0,0,0,0,0,0
 Florida,6,,2008,0,0,1,0,0,0,0,0,0,0
 Georgia,3,,2008,0,0,1,0,0,0,0,0,0,0
 Hawaii,5,,2008,0,0,1,0,0,0,0,0,0,0
 Idaho,3,,2008,0,0,1,0,0,0,0,0,0,0
 Illinois,4,,2008,0,0,1,0,0,0,0,0,0,0
 Indiana,4,,2008,0,0,1,0,0,0,0,0,0,0
 Iowa,5,,2008,0,0,1,0,0,0,0,0,0,0
 Kentucky,4,,2008,0,0,1,0,0,0,0,0,0,0
 Delaware,7,,2008,0,1,0,0,0,0,0,0,0,0
 Connecticut,6,,2008,0,1,0,0,0,0,0,0,0,0
 Colorado,5,,2008,0,1,0,0,0,0,0,0,0,0
 West Virginia,7,,2008,0,0,0,1,0,0,0,0,0,0
 Wisconsin,6,,2008,0,0,0,1,0,0,0,0,0,0
 Wyoming,7,,2008,0,0,0,1,0,0,0,0,0,0
 Alabama,5,,2008,0,0,0,0,1,0,0,0,0,0
 Alaska,4,,2008,0,0,0,0,1,0,0,0,0,0
 Arizona,4,,2008,0,0,0,0,1,0,0,0,0,0
 Arkansas,5,,2008,0,0,0,0,1,0,0,0,0,0
 California,4,,2008,0,0,0,0,1,0,0,0,0,0
 Colorado,4,,2008,0,0,0,0,1,0,0,0,0,0
 Connecticut,5,,2008,0,0,0,0,1,0,0,0,0,0
 Delaware,5,,2008,0,0,0,0,1,0,0,0,0,0
 District of Columbia,5,,2008,0,0,0,0,1,0,0,0,0,0
 Florida,5,,2008,0,0,0,0,1,0,0,0,0,0
 Georgia,4,,2008,0,0,0,0,1,0,0,0,0,0
 Hawaii,5,,2008,0,0,0,0,1,0,0,0,0,0
 Idaho,4,,2008,0,0,0,0,1,0,0,0,0,0
 Illinois,4,,2008,0,0,0,0,1,0,0,0,0,0
 Washington,6,,2008,0,0,0,1,0,0,0,0,0,0
 Indiana,5,,2008,0,0,0,0,1,0,0,0,0,0
 Virginia,6,,2008,0,0,0,1,0,0,0,0,0,0
 Utah,4,,2008,0,0,0,1,0,0,0,0,0,0
 Nevada,5,,2008,0,0,0,1,0,0,0,0,0,0
 New Hampshire,6,,2008,0,0,0,1,0,0,0,0,0,0
 New Jersey,6,,2008,0,0,0,1,0,0,0,0,0,0
 New Mexico,6,,2008,0,0,0,1,0,0,0,0,0,0
 New York,6,,2008,0,0,0,1,0,0,0,0,0,0
 North Carolina,6,,2008,0,0,0,1,0,0,0,0,0,0
 North Dakota,6,,2008,0,0,0,1,0,0,0,0,0,0
 Ohio,6,,2008,0,0,0,1,0,0,0,0,0,0
 Oklahoma,6,,2008,0,0,0,1,0,0,0,0,0,0
 Oregon,6,,2008,0,0,0,1,0,0,0,0,0,0
 Pennsylvania,6,,2008,0,0,0,1,0,0,0,0,0,0
 Puerto Rico,5,,2008,0,0,0,1,0,0,0,0,0,0
 Rhode Island,6,,2008,0,0,0,1,0,0,0,0,0,0
 South Carolina,6,,2008,0,0,0,1,0,0,0,0,0,0
 South Dakota,6,,2008,0,0,0,1,0,0,0,0,0,0
 Tennessee,6,,2008,0,0,0,1,0,0,0,0,0,0
 Texas,5,,2008,0,0,0,1,0,0,0,0,0,0
 Vermont,7,,2008,0,0,0,1,0,0,0,0,0,0
 Iowa,5,,2008,0,0,0,0,1,0,0,0,0,0
 Kansas,4,,2008,0,0,0,0,1,0,0,0,0,0
 Kentucky,5,,2008,0,0,0,0,1,0,0,0,0,0
 Rhode Island,5,,2008,0,0,0,0,1,0,0,0,0,0
 South Carolina,5,,2008,0,0,0,0,1,0,0,0,0,0
 South Dakota,5,,2008,0,0,0,0,1,0,0,0,0,0
 Tennessee,5,,2008,0,0,0,0,1,0,0,0,0,0
 Texas,4,,2008,0,0,0,0,1,0,0,0,0,0
 Utah,3,,2008,0,0,0,0,1,0,0,0,0,0
 Vermont,6,,2008,0,0,0,0,1,0,0,0,0,0
 Virginia,5,,2008,0,0,0,0,1,0,0,0,0,0
 Washington,5,,2008,0,0,0,0,1,0,0,0,0,0
 West Virginia,6,,2008,0,0,0,0,1,0,0,0,0,0
 Wisconsin,4,,2008,0,0,0,0,1,0,0,0,0,0
 Wyoming,5,,2008,0,0,0,0,1,0,0,0,0,0
 Alabama,7,,2008,0,1,0,0,0,0,0,0,0,0
 Alaska,4,,2008,0,1,0,0,0,0,0,0,0,0
 Arizona,6,,2008,0,1,0,0,0,0,0,0,0,0
 Arkansas,7,,2008,0,1,0,0,0,0,0,0,0,0
 California,5,,2008,0,1,0,0,0,0,0,0,0,0
 Puerto Rico,5,,2008,0,0,0,0,1,0,0,0,0,0
 Pennsylvania,5,,2008,0,0,0,0,1,0,0,0,0,0
 Oregon,5,,2008,0,0,0,0,1,0,0,0,0,0
 Oklahoma,5,,2008,0,0,0,0,1,0,0,0,0,0
 Louisiana,5,,2008,0,0,0,0,1,0,0,0,0,0
 Maine,6,,2008,0,0,0,0,1,0,0,0,0,0
 Maryland,5,,2008,0,0,0,0,1,0,0,0,0,0
 Massachusetts,5,,2008,0,0,0,0,1,0,0,0,0,0
 Michigan,5,,2008,0,0,0,0,1,0,0,0,0,0
 Minnesota,4,,2008,0,0,0,0,1,0,0,0,0,0
 Mississippi,4,,2008,0,0,0,0,1,0,0,0,0,0
 Missouri,5,,2008,0,0,0,0,1,0,0,0,0,0
 Oregon,4,,2008,0,0,1,0,0,0,0,0,0,0
 Montana,5,,2008,0,0,0,0,1,0,0,0,0,0
 Nevada,5,,2008,0,0,0,0,1,0,0,0,0,0
 New Hampshire,5,,2008,0,0,0,0,1,0,0,0,0,0
 New Jersey,5,,2008,0,0,0,0,1,0,0,0,0,0
 New Mexico,5,,2008,0,0,0,0,1,0,0,0,0,0
 New York,5,,2008,0,0,0,0,1,0,0,0,0,0
 North Carolina,5,,2008,0,0,0,0,1,0,0,0,0,0
 North Dakota,4,,2008,0,0,0,0,1,0,0,0,0,0
 Ohio,5,,2008,0,0,0,0,1,0,0,0,0,0
 Nebraska,4,,2008,0,0,0,0,1,0,0,0,0,0
 Puerto Rico,4,,2008,0,0,1,0,0,0,0,0,0,0
 Rhode Island,5,,2008,0,0,1,0,0,0,0,0,0,0
 South Carolina,4,,2008,0,0,1,0,0,0,0,0,0,0
 Texas,33,,2008,0,0,0,0,0,0,0,0,0,0
 Utah,28,,2008,0,0,0,0,0,0,0,0,0,0
 Vermont,41,,2008,0,0,0,0,0,0,0,0,0,0
 Virginia,37,,2008,0,0,0,0,0,0,0,0,0,0
 Washington,37,,2008,0,0,0,0,0,0,0,0,0,0
 West Virginia,40,,2008,0,0,0,0,0,0,0,0,0,0
 Wisconsin,38,,2008,0,0,0,0,0,0,0,0,0,0
 Wyoming,36,,2008,0,0,0,0,0,0,0,0,0,0
 Tennessee,37,,2008,0,0,0,0,0,0,0,0,0,0
 South Dakota,37,,2008,0,0,0,0,0,0,0,0,0,0
 Rhode Island,38,,2008,0,0,0,0,0,0,0,0,0,0
 Minnesota,37,,2008,0,0,0,0,0,0,0,0,0,0
 Mississippi,35,,2008,0,0,0,0,0,0,0,0,0,0
 Missouri,37,,2008,0,0,0,0,0,0,0,0,0,0
 Montana,39,,2008,0,0,0,0,0,0,0,0,0,0
 Nebraska,36,,2008,0,0,0,0,0,0,0,0,0,0
 Nevada,35,,2008,0,0,0,0,0,0,0,0,0,0
 New Hampshire,40,,2008,0,0,0,0,0,0,0,0,0,0
 New Jersey,38,,2008,0,0,0,0,0,0,0,0,0,0
 New Mexico,36,,2008,0,0,0,0,0,0,0,0,0,0
 New York,38,,2008,0,0,0,0,0,0,0,0,0,0
 North Carolina,37,,2008,0,0,0,0,0,0,0,0,0,0
 North Dakota,37,,2008,0,0,0,0,0,0,0,0,0,0
 Ohio,38,,2008,0,0,0,0,0,0,0,0,0,0
 Oklahoma,36,,2008,0,0,0,0,0,0,0,0,0,0
 Oregon,38,,2008,0,0,0,0,0,0,0,0,0,0
 Pennsylvania,39,,2008,0,0,0,0,0,0,0,0,0,0
 Puerto Rico,35,,2008,0,0,0,0,0,0,0,0,0,0
 South Carolina,37,,2008,0,0,0,0,0,0,0,0,0,0
 Michigan,38,,2008,0,0,0,0,0,0,0,0,0,0
 Nebraska,6,,2008,0,0,0,1,0,0,0,0,0,0
 Massachusetts,38,,2008,0,0,0,0,0,0,0,0,0,0
 Maine,41,,2008,0,0,0,0,0,0,0,0,0,0
 Hawaii,2,,2008,0,0,0,0,0,0,0,0,0,0
 Idaho,1,,2008,0,0,0,0,0,0,0,0,0,0
 Illinois,1,,2008,0,0,0,0,0,0,0,0,0,0
 Indiana,1,,2008,0,0,0,0,0,0,0,0,0,0
 Iowa,2,,2008,0,0,0,0,0,0,0,0,0,0
 Kansas,2,,2008,0,0,0,0,0,0,0,0,0,0
 Kentucky,1,,2008,0,0,0,0,0,0,0,0,0,0
 Louisiana,1,,2008,0,0,0,0,0,0,0,0,0,0
 Maine,2,,2008,0,0,0,0,0,0,0,0,0,0
 Maryland,1,,2008,0,0,0,0,0,0,0,0,0,0
 Massachusetts,2,,2008,0,0,0,0,0,0,0,0,0,0
 Michigan,1,,2008,0,0,0,0,0,0,0,0,0,0
 Minnesota,2,,2008,0,0,0,0,0,0,0,0,0,0
 Mississippi,1,,2008,0,0,0,0,0,0,0,0,0,0
 Missouri,1,,2008,0,0,0,0,0,0,0,0,0,0
 Montana,1,,2008,0,0,0,0,0,0,0,0,0,0
 Nebraska,2,,2008,0,0,0,0,0,0,0,0,0,0
 Georgia,1,,2008,0,0,0,0,0,0,0,0,0,0
 Nevada,1,,2008,0,0,0,0,0,0,0,0,0,0
 Florida,2,,2008,0,0,0,0,0,0,0,0,0,0
 Delaware,1,,2008,0,0,0,0,0,0,0,0,0,0
 South Dakota,5,,2008,0,0,1,0,0,0,0,0,0,0
 Tennessee,4,,2008,0,0,1,0,0,0,0,0,0,0
 Texas,3,,2008,0,0,1,0,0,0,0,0,0,0
 Utah,3,,2008,0,0,1,0,0,0,0,0,0,0
 Vermont,4,,2008,0,0,1,0,0,0,0,0,0,0
 Virginia,3,,2008,0,0,1,0,0,0,0,0,0,0
 Washington,3,,2008,0,0,1,0,0,0,0,0,0,0
 West Virginia,5,,2008,0,0,1,0,0,0,0,0,0,0
 Wisconsin,4,,2008,0,0,1,0,0,0,0,0,0,0
 Wyoming,4,,2008,0,0,1,0,0,0,0,0,0,0
 Alabama,1,,2008,0,0,0,0,0,0,0,0,0,0
 Arizona,1,,2008,0,0,0,0,0,0,0,0,0,0
 Arkansas,1,,2008,0,0,0,0,0,0,0,0,0,0
 California,1,,2008,0,0,0,0,0,0,0,0,0,0
 Colorado,1,,2008,0,0,0,0,0,0,0,0,0,0
 Connecticut,2,,2008,0,0,0,0,0,0,0,0,0,0
 District of Columbia,1,,2008,0,0,0,0,0,0,0,0,0,0
 New Hampshire,1,,2008,0,0,0,0,0,0,0,0,0,0
 New Jersey,1,,2008,0,0,0,0,0,0,0,0,0,0
 New Mexico,1,,2008,0,0,0,0,0,0,0,0,0,0
 Arizona,35,,2008,0,0,0,0,0,0,0,0,0,0
 Arkansas,37,,2008,0,0,0,0,0,0,0,0,0,0
 California,34,,2008,0,0,0,0,0,0,0,0,0,0
 Colorado,35,,2008,0,0,0,0,0,0,0,0,0,0
 Connecticut,39,,2008,0,0,0,0,0,0,0,0,0,0
 Delaware,38,,2008,0,0,0,0,0,0,0,0,0,0
 District of Columbia,34,,2008,0,0,0,0,0,0,0,0,0,0
 Florida,40,,2008,0,0,0,0,0,0,0,0,0,0
 Georgia,34,,2008,0,0,0,0,0,0,0,0,0,0
 Hawaii,38,,2008,0,0,0,0,0,0,0,0,0,0
 Idaho,34,,2008,0,0,0,0,0,0,0,0,0,0
 Illinois,36,,2008,0,0,0,0,0,0,0,0,0,0
 Indiana,36,,2008,0,0,0,0,0,0,0,0,0,0
 Iowa,38,,2008,0,0,0,0,0,0,0,0,0,0
 Kansas,36,,2008,0,0,0,0,0,0,0,0,0,0
 Kentucky,37,,2008,0,0,0,0,0,0,0,0,0,0
 Louisiana,35,,2008,0,0,0,0,0,0,0,0,0,0
 Alaska,33,,2008,0,0,0,0,0,0,0,0,0,0
 Alabama,37,,2008,0,0,0,0,0,0,0,0,0,0
 Wyoming,1,,2008,0,0,0,0,0,0,0,0,0,0
 Wisconsin,1,,2008,0,0,0,0,0,0,0,0,0,0
 New York,1,,2008,0,0,0,0,0,0,0,0,0,0
 North Carolina,1,,2008,0,0,0,0,0,0,0,0,0,0
 North Dakota,2,,2008,0,0,0,0,0,0,0,0,0,0
 Ohio,1,,2008,0,0,0,0,0,0,0,0,0,0
 Oklahoma,1,,2008,0,0,0,0,0,0,0,0,0,0
 Oregon,2,,2008,0,0,0,0,0,0,0,0,0,0
 Pennsylvania,2,,2008,0,0,0,0,0,0,0,0,0,0
 Puerto Rico,1,,2008,0,0,0,0,0,0,0,0,0,0
 Maryland,37,,2008,0,0,0,0,0,0,0,0,0,0
 Rhode Island,2,,2008,0,0,0,0,0,0,0,0,0,0
 South Dakota,2,,2008,0,0,0,0,0,0,0,0,0,0
 Tennessee,1,,2008,0,0,0,0,0,0,0,0,0,0
 Texas,1,,2008,0,0,0,0,0,0,0,0,0,0
 Utah,1,,2008,0,0,0,0,0,0,0,0,0,0
 Vermont,1,,2008,0,0,0,0,0,0,0,0,0,0
 Virginia,1,,2008,0,0,0,0,0,0,0,0,0,0
 Washington,1,,2008,0,0,0,0,0,0,0,0,0,0
 West Virginia,1,,2008,0,0,0,0,0,0,0,0,0,0
 South Carolina,1,,2008,0,0,0,0,0,0,0,0,0,0
 Montana,7,,2008,0,0,0,1,0,0,0,0,0,0
 Pennsylvania,5,,2008,0,0,1,0,0,0,0,0,0,0
 Mississippi,6,,2008,0,0,0,1,0,0,0,0,0,0
 Arkansas,6,,2008,0,0,0,0,0,0,1,0,0,0
 California,7,,2008,0,0,0,0,0,0,1,0,0,0
 Colorado,6,,2008,0,0,0,0,0,0,1,0,0,0
 Connecticut,6,,2008,0,0,0,0,0,0,1,0,0,0
 Delaware,6,,2008,0,0,0,0,0,0,1,0,0,0
 District of Columbia,8,,2008,0,0,0,0,0,0,1,0,0,0
 Florida,6,,2008,0,0,0,0,0,0,1,0,0,0
 Georgia,6,,2008,0,0,0,0,0,0,1,0,0,0
 Hawaii,7,,2008,0,0,0,0,0,0,1,0,0,0
 Idaho,6,,2008,0,0,0,0,0,0,1,0,0,0
 Illinois,7,,2008,0,0,0,0,0,0,1,0,0,0
 Indiana,6,,2008,0,0,0,0,0,0,1,0,0,0
 Iowa,7,,2008,0,0,0,0,0,0,1,0,0,0
 Kansas,7,,2008,0,0,0,0,0,0,1,0,0,0
 Kentucky,6,,2008,0,0,0,0,0,0,1,0,0,0
 Louisiana,7,,2008,0,0,0,0,0,0,1,0,0,0
 Maine,5,,2008,0,0,0,0,0,0,1,0,0,0
 Arizona,6,,2008,0,0,0,0,0,0,1,0,0,0
 Maryland,6,,2008,0,0,0,0,0,0,1,0,0,0
 Alaska,8,,2008,0,0,0,0,0,0,1,0,0,0
 Wyoming,49,F,2008,1,0,0,0,0,0,0,0,0,0
 North Dakota,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Ohio,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Oklahoma,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Oregon,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Pennsylvania,52,F,2008,1,0,0,0,0,0,0,0,0,0
 Puerto Rico,53,F,2008,1,0,0,0,0,0,0,0,0,0
 Rhode Island,52,F,2008,1,0,0,0,0,0,0,0,0,0
 South Carolina,52,F,2008,1,0,0,0,0,0,0,0,0,0
 South Dakota,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Tennessee,52,F,2008,1,0,0,0,0,0,0,0,0,0
 Texas,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Utah,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Vermont,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Virginia,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Washington,50,F,2008,1,0,0,0,0,0,0,0,0,0
 West Virginia,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Wisconsin,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Alabama,6,,2008,0,0,0,0,0,0,1,0,0,0
 Massachusetts,7,,2008,0,0,0,0,0,0,1,0,0,0
 Michigan,6,,2008,0,0,0,0,0,0,1,0,0,0
 Minnesota,6,,2008,0,0,0,0,0,0,1,0,0,0
 Vermont,6,,2008,0,0,0,0,0,0,1,0,0,0
 Virginia,7,,2008,0,0,0,0,0,0,1,0,0,0
 Washington,6,,2008,0,0,0,0,0,0,1,0,0,0
 West Virginia,6,,2008,0,0,0,0,0,0,1,0,0,0
 Wisconsin,7,,2008,0,0,0,0,0,0,1,0,0,0
 Wyoming,7,,2008,0,0,0,0,0,0,1,0,0,0
 Alabama,12,,2008,0,0,0,0,0,0,0,1,0,0
 Alaska,14,,2008,0,0,0,0,0,0,0,1,0,0
 Arizona,14,,2008,0,0,0,0,0,0,0,1,0,0
 Arkansas,12,,2008,0,0,0,0,0,0,0,1,0,0
 California,14,,2008,0,0,0,0,0,0,0,1,0,0
 Colorado,15,,2008,0,0,0,0,0,0,0,1,0,0
 Connecticut,11,,2008,0,0,0,0,0,0,0,1,0,0
 Delaware,12,,2008,0,0,0,0,0,0,0,1,0,0
 District of Columbia,18,,2008,0,0,0,0,0,0,0,1,0,0
 Florida,12,,2008,0,0,0,0,0,0,0,1,0,0
 Georgia,13,,2008,0,0,0,0,0,0,0,1,0,0
 Utah,8,,2008,0,0,0,0,0,0,1,0,0,0
 Texas,7,,2008,0,0,0,0,0,0,1,0,0,0
 Tennessee,6,,2008,0,0,0,0,0,0,1,0,0,0
 South Dakota,7,,2008,0,0,0,0,0,0,1,0,0,0
 Mississippi,7,,2008,0,0,0,0,0,0,1,0,0,0
 Missouri,6,,2008,0,0,0,0,0,0,1,0,0,0
 Montana,7,,2008,0,0,0,0,0,0,1,0,0,0
 Nebraska,7,,2008,0,0,0,0,0,0,1,0,0,0
 Nevada,6,,2008,0,0,0,0,0,0,1,0,0,0
 New Hampshire,6,,2008,0,0,0,0,0,0,1,0,0,0
 New Jersey,6,,2008,0,0,0,0,0,0,1,0,0,0
 New Mexico,7,,2008,0,0,0,0,0,0,1,0,0,0
 New York,52,F,2008,1,0,0,0,0,0,0,0,0,0
 New York,7,,2008,0,0,0,0,0,0,1,0,0,0
 North Dakota,9,,2008,0,0,0,0,0,0,1,0,0,0
 Ohio,6,,2008,0,0,0,0,0,0,1,0,0,0
 Oklahoma,7,,2008,0,0,0,0,0,0,1,0,0,0
 Oregon,6,,2008,0,0,0,0,0,0,1,0,0,0
 Pennsylvania,6,,2008,0,0,0,0,0,0,1,0,0,0
 Puerto Rico,7,,2008,0,0,0,0,0,0,1,0,0,0
 Rhode Island,7,,2008,0,0,0,0,0,0,1,0,0,0
 South Carolina,6,,2008,0,0,0,0,0,0,1,0,0,0
 North Carolina,6,,2008,0,0,0,0,0,0,1,0,0,0
 Hawaii,13,,2008,0,0,0,0,0,0,0,1,0,0
 New Mexico,51,F,2008,1,0,0,0,0,0,0,0,0,0
 New Hampshire,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Massachusetts,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Michigan,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Minnesota,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Mississippi,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Missouri,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Montana,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Nebraska,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Nevada,50,M,2008,1,0,0,0,0,0,0,0,0,0
 New Hampshire,48,M,2008,1,0,0,0,0,0,0,0,0,0
 New Jersey,48,M,2008,1,0,0,0,0,0,0,0,0,0
 New Mexico,48,M,2008,1,0,0,0,0,0,0,0,0,0
 New York,47,M,2008,1,0,0,0,0,0,0,0,0,0
 North Carolina,48,M,2008,1,0,0,0,0,0,0,0,0,0
 North Dakota,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Ohio,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Oklahoma,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Oregon,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Maryland,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Pennsylvania,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Maine,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Kentucky,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Missouri,6,,2008,0,0,0,1,0,0,0,0,0,0
 Alaska,52,M,2008,1,0,0,0,0,0,0,0,0,0
 Arizona,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Arkansas,48,M,2008,1,0,0,0,0,0,0,0,0,0
 California,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Colorado,50,M,2008,1,0,0,0,0,0,0,0,0,0
 Connecticut,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Delaware,47,M,2008,1,0,0,0,0,0,0,0,0,0
 District of Columbia,46,M,2008,1,0,0,0,0,0,0,0,0,0
 Florida,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Georgia,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Hawaii,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Idaho,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Illinois,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Indiana,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Iowa,48,M,2008,1,0,0,0,0,0,0,0,0,0
 Kansas,49,M,2008,1,0,0,0,0,0,0,0,0,0
 Louisiana,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Puerto Rico,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Rhode Island,47,M,2008,1,0,0,0,0,0,0,0,0,0
 South Carolina,47,M,2008,1,0,0,0,0,0,0,0,0,0
 Idaho,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Illinois,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Indiana,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Iowa,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Kansas,50,F,2008,1,0,0,0,0,0,0,0,0,0
 Kentucky,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Louisiana,52,F,2008,1,0,0,0,0,0,0,0,0,0
 Maine,51,F,2008,1,0,0,0,0,0,0,0,0,0
 Maryland,52,F,2008,1,0,0,0,0,0,0,0,0,0
 Massachusetts,52,F,2008,1,0,0,0,0,0,0,0,0,0
 Michigan,51,F,2008,1,0,0,0,0,0,0,0,0,0
