State Country,Candidate,Party,Total Votes,Percent,Election Year,Gross domestic product (GDP),Personal income,Total employment (number of jobs)
Maine,"McCain, John",Republican,295273,40,2008,51001,49175,823556
Maine,"Obama, Barack",Democrat,401306,56,2012,54018,53227,796939
Maine,"Obama, Barack",Democrat,421923,57,2008,51001,49175,823556
Maine,"Romney, Mitt",Republican,292276,40,2012,54018,53227,796939
Maryland,"McCain, John",Republican,959862,36,2008,292908,278708,3430861
Maryland,"Obama, Barack",Democrat,1629467,61,2008,292908,278708,3430861
Maryland,"Obama, Barack",Democrat,1677844,61,2012,331869,310420,3438930
Maryland,"Romney, Mitt",Republican,971869,35,2012,331869,310420,3438930
Massachusetts,"McCain, John",Republican,1108854,35,2008,387923,333450,4215626
Massachusetts,"Obama, Barack",Democrat,1904097,61,2008,387923,333450,4215626
Massachusetts,"Obama, Barack",Democrat,1921290,60,2012,441373,376591,4253382
Massachusetts,"Romney, Mitt",Republican,1188314,37,2012,441373,376591,4253382
Michigan,"McCain, John",Republican,2048639,40,2008,391633,356356,5337592
Michigan,"Obama, Barack",Democrat,2564569,54,2012,426141,387339,5234356
Michigan,"Obama, Barack",Democrat,2872579,57,2008,391633,356356,5337592
Michigan,"Romney, Mitt",Republican,2115256,44,2012,426141,387339,5234356
Minnesota,"McCain, John",Republican,1275409,43,2008,268771,225533,3526233
Minnesota,"Romney, Mitt",Republican,1320225,44,2012,298641,255427,3505288
Mississippi,"McCain, John",Republican,724597,56,2008,95179,90602,1537448
Mississippi,"Obama, Barack",Democrat,554662,43,2008,95179,90602,1537448
Mississippi,"Obama, Barack",Democrat,562949,43,2012,100905,99732,1519741
Mississippi,"Romney, Mitt",Republican,710746,55,2012,100905,99732,1519741
Missouri,"McCain, John",Republican,1445814,49,2008,256431,219922,3625622
Missouri,"Obama, Barack",Democrat,1223796,44,2012,272482,240967,3528185
Missouri,"Obama, Barack",Democrat,1441911,49,2008,256431,219922,3625622
Missouri,"Romney, Mitt",Republican,1482440,53,2012,272482,240967,3528185
Montana,"McCain, John",Republican,242763,49,2008,37028,34730,636195
Montana,"Obama, Barack",Democrat,201839,41,2012,42150,40436,633197
Montana,"Obama, Barack",Democrat,231667,47,2008,37028,34730,636195
Montana,"Romney, Mitt",Republican,267928,55,2012,42150,40436,633197
Nebraska,"McCain, John",Republican,452979,56,2008,86146,72377,1237394
Nebraska,"Obama, Barack",Democrat,302081,38,2012,102949,86235,1251331
Nebraska,"Obama, Barack",Democrat,333319,41,2008,86146,72377,1237394
Nebraska,"Romney, Mitt",Republican,475064,59,2012,102949,86235,1251331
Nevada,"McCain, John",Republican,412827,42,2008,130570,102535,1619016
Nevada,"Obama, Barack",Democrat,531373,52,2012,130238,108696,1519210
Nevada,"Obama, Barack",Democrat,533736,55,2008,130570,102535,1619016
Nevada,"Romney, Mitt",Republican,463567,45,2012,130238,108696,1519210
New Hampshire,"McCain, John",Republican,316534,44,2008,62095,60153,844885
New Hampshire,"Obama, Barack",Democrat,369561,51,2012,68412,67318,824378
New Hampshire,"Obama, Barack",Democrat,384826,54,2008,62095,60153,844885
New Hampshire,"Romney, Mitt",Republican,329918,46,2012,68412,67318,824378
New Jersey,"McCain, John",Republican,1613207,41,2008,493289,449545,5123837
New Jersey,"Obama, Barack",Democrat,2125101,58,2012,516098,484600,5053885
New Jersey,"Obama, Barack",Democrat,2215422,57,2008,493289,449545,5123837
New Jersey,"Romney, Mitt",Republican,1477568,40,2012,516098,484600,5053885
New Mexico,"McCain, John",Republican,346832,41,2008,84339,67462,1105330
New Mexico,"Obama, Barack",Democrat,415335,52,2012,87681,74610,1067145
New Mexico,"Obama, Barack",Democrat,472422,56,2008,84339,67462,1105330
New Mexico,"Romney, Mitt",Republican,335788,42,2012,87681,74610,1067145
New York,"McCain, John",Republican,2418323,31,2008,1107860,920456,11197859
New York,"Obama, Barack",Democrat,4337622,61,2012,1324471,1039791,11433058
New York,"Obama, Barack",Democrat,4645332,60,2008,1107860,920456,11197859
New York,"Romney, Mitt",Republican,2228060,31,2012,1324471,1039791,11433058
North Carolina,"McCain, John",Republican,2128474,49,2008,420707,351637,5413522
North Carolina,"Obama, Barack",Democrat,2142651,49,2008,420707,351637,5413522
North Carolina,"Obama, Barack",Democrat,2178391,48,2012,444063,377867,5356134
North Carolina,"Romney, Mitt",Republican,2270395,50,2012,444063,377867,5356134
North Dakota,"McCain, John",Republican,168601,53,2008,32027,26942,491887
North Dakota,"Romney, Mitt",Republican,188163,58,2012,52079,39538,567381
Ohio,"McCain, John",Republican,2677820,46,2008,500916,422085,6725207
Ohio,"Obama, Barack",Democrat,2827709,50,2012,543035,466162,6605925
Ohio,"Obama, Barack",Democrat,2940044,51,2008,500916,422085,6725207
Ohio,"Romney, Mitt",Republican,2661437,47,2012,543035,466162,6605925
Oklahoma,"McCain, John",Republican,960165,65,2008,161609,143654,2186721
Oklahoma,"Obama, Barack",Democrat,443547,33,2012,175361,159875,2211969
Oklahoma,"Obama, Barack",Democrat,502496,34,2008,161609,143654,2186721
Oklahoma,"Romney, Mitt",Republican,891325,66,2012,175361,159875,2211969
Oregon,"McCain, John",Republican,738475,40,2008,164122,138899,2288774
Oregon,"Obama, Barack",Democrat,970488,54,2012,173856,152601,2219981
Oregon,"Obama, Barack",Democrat,1037291,56,2008,164122,138899,2288774
Oregon,"Romney, Mitt",Republican,754175,42,2012,173856,152601,2219981
Pennsylvania,"McCain, John",Republican,2655885,44,2008,586886,522993,7278574
Pennsylvania,"Obama, Barack",Democrat,2990274,51,2012,646434,584880,7284595
Pennsylvania,"Obama, Barack",Democrat,3276363,54,2008,586886,522993,7278574
Pennsylvania,"Romney, Mitt",Republican,2680434,46,2012,646434,584880,7284595
Rhode Island,"McCain, John",Republican,165391,35,2008,47138,43768,608884
Rhode Island,"Obama, Barack",Democrat,279677,62,2012,51527,48186,592954
Rhode Island,"Obama, Barack",Democrat,296571,62,2008,47138,43768,608884
Rhode Island,"Romney, Mitt",Republican,157204,35,2012,51527,48186,592954
South Carolina,"McCain, John",Republican,1034896,53,2008,164471,149954,2472467
South Carolina,"Obama, Barack",Democrat,862449,44,2008,164471,149954,2472467
South Carolina,"Obama, Barack",Democrat,865941,44,2012,178503,168271,2453323
South Carolina,"Romney, Mitt",Republican,1071645,54,2012,178503,168271,2453323
South Dakota,"McCain, John",Republican,203054,53,2008,36939,32676,561052
South Dakota,"Obama, Barack",Democrat,145039,39,2012,44127,37469,574997
South Dakota,"Obama, Barack",Democrat,170924,44,2008,36939,32676,561052
South Dakota,"Romney, Mitt",Republican,210610,57,2012,44127,37469,574997
Tennessee,"McCain, John",Republican,1479178,56,2008,255546,218372,3677116
Tennessee,"Obama, Barack",Democrat,960709,39,2012,285897,252592,3635172
Tennessee,"Obama, Barack",Democrat,1087437,41,2008,255546,218372,3677116
Tennessee,"Romney, Mitt",Republican,1462330,59,2012,285897,252592,3635172
Texas,"McCain, John",Republican,4479328,55,2008,1253142,968499,14365985
Texas,"Obama, Barack",Democrat,3308124,41,2012,1429588,1142887,15095946
Texas,"Obama, Barack",Democrat,3528633,43,2008,1253142,968499,14365985
Texas,"Romney, Mitt",Republican,4569843,57,2012,1429588,1142887,15095946
Utah,"McCain, John",Republican,596030,62,2008,116949,89967,1688135
Utah,"Obama, Barack",Democrat,251813,24,2012,129431,101928,1706044
Utah,"Obama, Barack",Democrat,327670,34,2008,116949,89967,1688135
Utah,"Romney, Mitt",Republican,740600,72,2012,129431,101928,1706044
Vermont,"McCain, John",Republican,98974,30,2008,26140,25449,424280
Vermont,"Obama, Barack",Democrat,199239,66,2012,29325,28291,421870
Vermont,"Obama, Barack",Democrat,219262,67,2008,26140,25449,424280
Vermont,"Romney, Mitt",Republican,92698,30,2012,29325,28291,421870
Virginia,"McCain, John",Republican,1725005,46,2008,402157,355506,4870374
Virginia,"Obama, Barack",Democrat,1959532,52,2008,402157,355506,4870374
Virginia,"Obama, Barack",Democrat,1971820,51,2012,445008,402072,4856833
Virginia,"Romney, Mitt",Republican,1822522,47,2012,445008,402072,4856833
Washington,"McCain, John",Republican,1229216,40,2008,352460,289381,3954871
Washington,"Obama, Barack",Democrat,1750848,57,2008,352460,289381,3954871
Washington,"Obama, Barack",Democrat,1755396,56,2012,398358,324882,3909118
Washington,"Romney, Mitt",Republican,1290670,41,2012,398358,324882,3909118
West Virginia,"Obama, Barack",Democrat,238269,35,2012,70303,65488,918958
West Virginia,"Romney, Mitt",Republican,417655,62,2012,70303,65488,918958
West Virginia,"McCain, John Sidney, III",Republican,397466,55,2008,62978,57958,918376
West Virginia,"Obama, Barack Hussein",Democrat,303857,42,2008,62978,57958,918376
Wisconsin,"McCain, John",Republican,1262393,42,2008,246493,219194,3572816
Wisconsin,"Obama, Barack",Democrat,1620985,52,2012,276253,244508,3499342
Wisconsin,"Obama, Barack",Democrat,1677211,56,2008,246493,219194,3572816
Wisconsin,"Romney, Mitt",Republican,1407966,45,2012,276253,244508,3499342
Wyoming,"McCain, John",Republican,164958,64,2008,42694,27002,398989
Wyoming,"Obama, Barack",Democrat,69286,27,2012,38679,30844,396724
Wyoming,"Obama, Barack",Democrat,82868,32,2008,42694,27002,398989
Wyoming,"Romney, Mitt",Republican,170962,68,2012,38679,30844,396724
